id,description,mfg,mfg_id,category_id
100477,500V 11.5A N-CH,Fairchild Semiconductor,FDB12N50TM,27
100478,500V 15A N-CH,Fairchild Semiconductor,FDB15N50,27
100479,600V 35A Power SuperFET,Fairchild Semiconductor,FCA35N60,27
100480,60V 1.2A N-CH,"Zetex, Inc.",ZXMN6A07FTA,27
100481,60V 110A P-CH,Vishay SGI,SUM110P06-07L-E3,27
100482,60V 0.7A P-CHAN,Infineon Technologies,TP0610K-T1-E3,27
100483,60V 350mW N-CH,"Diodes, Inc.",DMN601K-7,27
100484,60V 47A P-CH,Fairchild Semiconductor,FQP47P06,27
100485,650V 11A N-CH,Infineon Technologies,SPB11N60C3,27
100486,650V 12A N-CH,Infineon Technologies,IPP60R250CP,27
100487,650V 15.5A N-CH,STMicroelectronics,STP19NM65N,27
100488,800V 250mA N-CH,STMicroelectronics,STN1NK80Z,27
100489,900V 40A N-CH,STMicroelectronics,STE40NK90ZD,27
100490,100V 17A N-CH,International Rectifier,IRF530NPBF,27
100491,100V 180A N-CH,International Rectifier,IXFX180N10,27
100492,1000V 3.1A N-CH,Vishay/Siliconix,IRFPG30PBF,27
100493,200V 3.3A N-CH,International Rectifier,IRF610PBF,27
100494,200V 9A N-CH,STMicroelectronics,IRF630,27
100495,650V 8.5A N-CH,Vishay SGI,IRFB9N65APBF,27
100496,50V 200mA N-CH,ON Semiconductor,BSS138LT1G,27
100497,600V 2.4A N-CH,Fairchild Semiconductor,FQU3N60CTU,27
100498,600V 7A N-CH,Fairchild Semiconductor,FCP7N60,27
100499,400V 1.8A P-CH,Vishay SGI,IRFU9310,27
100500,100V 12A P-CH,Vishay/Siliconix,IRF9530S,27
100501,100V 12A P-CH,Vishay/Siliconix,IRF9530PBF,27
100502,200V 6.5A P-CH,International Rectifier,IRF9630PBF,27
100503,20V 3.7A P-CH,International Rectifier,IRLML6402TRPBF,27
100504,60V 0.7A P-CH,Infineon Technologies,BSS84P L6327,27
100505,60V 1.25A P-CH,Fairchild Semiconductor,FDN5618P,27
100506,16MHz CRYSTAL SERIES,"ECS, Inc.",ECS-160-S-7S-TR,28
100507,20MHz 3.3V 1/2-SIZE,Abracon Corp.,ACHL-20.000MHZ-EK,28
100508,20MHz 5V 1/2-SIZE,Abracon Corp.,ACH-20.000MHZ-EK,28
100509,24MHz 20pF CRYSTAL,"ECS, Inc.",ECS-240-20-5PX-TR,28
100510,50MHz 5V OSCILLATOR 1/2-SIZE,Abracon Corp.,ACH-50.000MHZ-EK,28
100511,.5A 12VDC RELAY REED,Coto Technology,2341-12-000,29
100512,12V RELAY REED SIP DPST W/DIODE,Coto Technology,12/11/9092,29
100513,12V RELAY REED SIP HV SPST,Coto Technology,12/10/9104,29
100514,140mA RELAY OPTOMOS,Clare,CPC1390GRTR,29
100515,600V 90mA RELAY OPTOMOS,Clare,CPC1393GRTR,29
100516,5A 12VDC PC MOUNT SPST-NO GOLD,Omron Electronics Inc-ECB Div,G6B-1114P-US-AP-DC12,29
100517,100V 375mA Photovoltaic Relay,International Rectifier,PVA1354NSPBF,25
100518,12VDC RELAY REED PC MNT,Meder Electronic,LI12-1A85,29
100519,12V RELAY REED SIP HV SPST,Pickering Electronics Limited,104-1-A-12/3D,29
100520,12V RELAY REED SIP SPST,Coto Technology,9001-12-00,29
100521,.5A 12V RELAY REED SPST SIP,Coto Technology,12/10/9012,29
100522,350V 120mA RELAY SSR DPST,Omron Electronics Inc-ECB Div,G3VM-352F,29
100523,80V RELAY SSR SPST-NO,Omron Electronics Inc-ECB Div,G3VM-81LR,29
100524,SIP SERIES REED RELAY,SRC DEVICES,MSS41A12,29
100525,SIP SERIES REED RELAY,MEDER Electronic,SIL12-1A75-71L,29
100526,.001 Ohm 3.5W ±1% 4 TERMINAL,MICRO_OHM,SP625,1
100527,.001 Ohm 3W ±1% PRECISION,Ohmite,CS3FR001E,1
100528,.010 Ohm 25A ±5% CUR SENSE,Huntington Electric Inc.,MRS129801-5%,1
100529,.010 Ohm 36W ±2%,"Caddock Electronics, Inc.",MP2060-0.010-2%,1
100530,.010 Ohm 3W ±1% PRECISION,Ohmite,CS3FR010E,1
100531,.02 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-0.020-1%,1
100532,.025 Ohm 3W ±1% PRECISION,Ohmite,CS3FR025E,1
100533,.05 Ohm 3W ±1% CURRENT SENSE,Stackpole Electronics Inc,BR 3 .05 ±1% B,1
100534,.050 Ohm 3W ±1% PRECISION,Ohmite,CS3FR050E,1
100535,.050 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-0.050-1%,1
100536,.07 Ohm 1/4W ±1%,ROHM Semiconductor,WSL1206R0700FEA,1
100537,.075 Ohm 80W ±1%,Riedon,FNR 2-T227 0.075 Ohm ±1% 20PPM,1
100538,.10 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-0.10-1%,1
100539,.100 Ohm 3W 1% CURR SENSE,Ohmite,13FPR100E,1
100540,.20 Ohm 1/2W ±1%,Susumu Co Ltd,RL1632R-R200-F,1
100541,.20 Ohm 30W ±1%,"Caddock Electronics, Inc.",MP930-0.20-1%,1
100542,.30 Ohm 2W ±1%,Vishay/Dale,WSR2R3000FEA,1
100543,.47 Ohm 1/2W ±1%,Susumu Co Ltd,RL1632R-R470-F,1
100544,.50 OHM 2W ±1%  4-WIRE,"Caddock Electronics, Inc.",SR20-0.50-1%,1
100545,.50 Ohm 30W ±1%,"Caddock Electronics, Inc.",MP930-0.50-1%,1
100546,.5 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-0.50-1%,1
100547,0 Ohm 1/4W ±5%,ROHM Semiconductor,MCR18EZHJ000,1
100548,0 Ohm 1W ±5%,Vishay/Dale,CRCW25120000Z0EG,1
100549,1 Ohm 1/2W ±1%,Susumu Co Ltd,RL1632R-1R00-F,1
100550,1 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHFL1R00,1
100551,1 Ohm 1W ±5%,Vishay/Dale,CRCW25121R00JNEG,1
100552,1 Ohm 2W ±1%,Vishay/Dale,WSR21R000FEA,1
