assembly_id,serial,version,date,category_id,notes
52,31,2.91.2,2011-02-16,50,
44,31,5.1.1,2010-06-01,50,
88,31,5.1.2,2010-05-06,58,
74,31,8.0.2,,53,
27,31,2.0.0,,53,
92,31,5.2.0,,50,
46,31,3.1.0,,53,
63,31,2.2.0-0.0.2.0,,50,
49,32,3.2.0,2018-03-08,50,
35,32,2.6.2-1.0.0.0,2018-01-18,50,Brought up in Manila
94,32,2.0.0,2013-10-17,50,
74,32,8.10.0,2013-04-10,50,
80,32,1.0.1,2012-08-03,53,? Diodes (ask Samantha)
95,32,6.1.0,2011-03-02,50,Being shipped back for Repair
44,32,5.1.1,2011-01-11,50,
52,32,2.91.0,2010-11-04,50,
81,32,6.50.0,2010-07-27,50,
92,32,5.1.1,2010-05-04,50,
27,32,2.0.0,,53,
89,32,4.1.0,,50,
41,32,4.0.0-2.0.0.0,,53,
63,32,2.2.0-0.0.0.0,,50,
49,33,3.2.0,2018-03-08,50,
35,33,2.6.3-1.0.0.0,2018-01-18,50,Brought up in Manila
63,33,"2.2.0-0,0,1,0",2017-07-10,50,
46,33,3.1.0,2014-07-18,53,
74,33,8.0.4,2011-10-19,50,
82,33,5.1.0,2010-08-03,53," Note that I have been adding a wire to most boards lately(J2 to U20), but this one doesn't have it (Todd)"
92,33,5.1.1,2010-06-18,50,
88,33,5.1.2,2010-05-07,50,
80,33,1.0.1,,53,
27,33,2.0.0,,53,
41,33,4.0.0-2.0.0.1,,53,
95,33,6.1.0,,53,
44,33,5.1.1,,53,
52,33,2.91.2?,,50,updated per notes from Gary in the 2.91.2 schematic on 3/2/11
35,34,2.6.3-1.0.0.0,2018-06-26,53,
63,34,2.2.0-0.0.0.0,2018-04-09,50,
49,34,3.2.0,2018-03-08,49,
46,34,3.1.0,2014-07-18,50,
82,34,5.50.0,2012-10-16,50,
88,34,5.1.4,2011-03-01,50,
44,34,5.1.1,2010-07-27,50,
92,34,5.1.1,2010-05-24,50,
95,34,6.1.1,2010-05-06,50,
